Code,Faction,Class,KB,D,HK,DD,HD,OP,VP,Honor,Win,Lose,Rol,BE
TK19,Horde,Mage,3,4,24,71009,3386,1,66,197,,1,dps,
TK19,Horde,Shaman,1,5,22,11168,86090,3,126,193,,1,heal,
TK19,Alliance,Demon Hunter,4,3,43,26973,22460,2,134,801,1,,dps,
TK19,Horde,Warrior,6,6,25,52467,9495,1,96,199,,1,dps,
TK19,Horde,Demon Hunter,1,5,19,29207,2983,2,50,187,,1,dps,
TK19,Horde,Priest,0,5,23,10330,114000,2,88,195,,1,heal,
TK19,Alliance,Demon Hunter,10,1,50,87765,10367,,100,815,1,,dps,
TK19,Horde,Demon Hunter,5,4,24,66599,8955,1,82,197,,1,dps,
TK19,Horde,Shaman,3,8,21,66610,6397,1,52,191,,1,dps,
TK19,Alliance,Demon Hunter,4,3,51,67876,8942,,40,825,1,,dps,
TK19,Alliance,Shaman,0,5,46,4639,60170,5,362,585,1,,heal,
TK19,Horde,Mage,3,6,22,58897,15577,4,158,193,,1,dps,
TK19,Horde,Warlock,0,2,29,40329,13640,,0,207,,1,dps,
TK20,Horde,Warlock,2,3,22,43576,20655,4,174,185,,1,dps,
TK20,Alliance,Warrior,3,6,36,19329,3194,,30,561,1,,dps,
TK20,Alliance,Paladin,0,5,39,3606,98315,4,194,794,1,,heal,
TK20,Alliance,Warlock,7,4,40,85586,26630,,70,800,1,,dps,
TK20,Horde,Rogue,5,7,37,75885,14350,,50,250,,1,dps,
TK20,Horde,Death Knight,4,5,38,95537,86042,3,182,252,,1,dps,
TK20,Horde,Mage,8,3,38,77197,7210,,80,252,,1,dps,
TK20,Horde,Warrior,3,5,38,52652,4186,1,48,252,,1,dps,
TK20,Horde,Shaman,0,8,36,7988,93927,3,120,248,,1,heal,
TK20,Alliance,Paladin,10,3,36,96948,20301,,100,771,1,,dps,
TK20,Horde,Hunter,3,3,36,40886,11454,,30,248,,1,dps,
TK20,Alliance,Paladin,15,1,42,120000,36123,,150,579,1,,dps,
TK20,Alliance,Monk,0,5,41,35008,61404,4,314,801,1,,heal,
TK20,Alliance,Rogue,3,4,41,58569,12269,1,94,800,1,,dps,
TK20,Horde,Monk,0,3,41,6639,116000,2,102,258,,1,heal,
TK20,Alliance,Druid,2,5,41,52062,17833,5,288,577,1,,dps,
TK20,Horde,Hunter,8,3,31,47878,10866,,80,213,,1,dps,
TK20,Alliance,Paladin,2,5,37,92763,23055,1,76,792,1,,dps,
TK20,Horde,Mage,5,3,39,86515,16473,2,82,254,,1,dps,
TK20,Alliance,Hunter,2,6,41,57969,9310,3,188,577,1,,dps,
TK21,Alliance,Monk,4,4,22,39702,19076,,40,246,,1,dps,
TK21,Horde,Rogue,6,2,38,42395,4749,3,166,529,1,,dps,
TK21,Horde,Warlock,1,5,34,19102,12146,2,48,521,1,,dps,
TK21,Alliance,Paladin,3,5,23,52063,14630,1,118,252,,1,dps,
TK21,Horde,Death Knight,4,4,33,39191,18903,,40,370,1,,dps,
TK21,Horde,Shaman,0,4,41,10269,91595,3,340,536,1,,heal,
TK21,Horde,Death Knight,6,1,43,23545,14513,,60,540,1,,dps,
TK21,Alliance,Warlock,5,4,22,56880,22975,1,94,246,,1,dps,
TK21,Horde,Warrior,7,3,38,38509,11850,,70,379,1,,dps,
TK21,Alliance,Mage,2,6,22,31119,769,,20,245,,1,dps,
TK21,Horde,Demon Hunter,1,4,29,11679,1956,3,206,362,1,,dps,
TK21,Alliance,Shaman,3,6,24,42817,6532,1,46,253,,1,dps,
TK21,Alliance,Druid,0,5,21,25909,4852,2,40,242,,1,dps,
TK21,Alliance,Warrior,5,4,24,42177,2774,,50,251,,1,dps,
TK21,Horde,Druid,5,2,39,72724,11281,,50,381,1,,dps,
TK21,Alliance,Paladin,0,3,27,3323,40559,1,12,264,,1,heal,
TK21,Horde,Mage,6,4,33,38118,7450,5,312,519,1,,dps,
TK21,Horde,Warlock,7,1,41,46512,8569,1,224,386,1,,dps,
TK21,Alliance,Warrior,7,3,20,29758,8636,,70,231,,1,dps,
TK22,Horde,Mage,7,6,58,79443,40491,4,290,426,1,,dps,
TK22,Alliance,Mage,4,6,54,75880,11597,,40,466,,1,dps,
TK22,Alliance,Druid,0,7,44,0,69591,1,20,434,,1,heal,
TK22,Horde,Rogue,5,5,53,34547,9505,,50,416,1,,dps,
TK22,Alliance,Paladin,14,7,50,83601,20097,6,312,456,,1,dps,
TK22,Alliance,Shaman,5,8,47,73443,19092,6,252,445,,1,dps,
TK22,Alliance,Mage,4,5,46,52811,10124,,40,444,,1,dps,
TK22,Horde,Shaman,0,7,56,10096,80033,7,314,422,1,,heal,
TK22,Alliance,Shaman,3,6,50,38351,13031,5,282,453,,1,dps,
TK22,Horde,Rogue,4,6,54,14411,21131,3,210,418,1,,dps,
TK22,Horde,Warlock,21,2,62,120000,98595,,210,434,1,,dps,
TK22,Horde,Warrior,11,7,47,77200,34835,2,154,404,1,,dps,
TK22,Horde,Death Knight,4,6,51,50851,23812,,40,562,1,,dps,
TK22,Horde,Warrior,5,7,44,26669,5950,2,114,548,1,,dps,
TK22,Horde,Rogue,4,7,52,53392,16724,,40,414,1,,dps,
TK22,Alliance,Warlock,8,4,55,55898,17971,1,186,469,,1,dps,
TK22,Alliance,Death Knight,9,6,49,98756,22422,2,148,453,,1,dps,
TK22,Alliance,Hunter,5,6,49,73531,6765,,50,453,,1,dps,
TK22,Alliance,Druid,7,7,50,91472,10294,,70,453,,1,dps,
TK22,Horde,Hunter,1,8,49,36503,11728,4,110,558,1,,dps,
TK23,Alliance,Rogue,5,0,45,82690,4625,,50,803,1,,dps,
TK23,Alliance,Mage,1,4,40,31427,10773,5,280,565,1,,dps,
TK23,Alliance,Paladin,9,1,43,102000,26818,1,134,798,1,,dps,
TK23,Horde,Hunter,0,1,7,11562,2654,,0,109,,1,dps,
TK23,Horde,Warrior,1,4,16,46813,1761,,10,143,,1,dps,
TK23,Horde,Shaman,0,5,12,4521,33390,3,78,135,,1,heal,
TK23,Alliance,Monk,0,0,45,1611,165000,,0,803,1,,heal,
TK23,Horde,Priest,2,3,17,137000,43681,,20,145,,1,dps,
TK23,Alliance,Warrior,4,4,37,43029,7148,4,388,554,1,,dps,
TK23,Alliance,Death Knight,9,0,45,74066,25583,,90,803,1,,dps,
TK23,Horde,Mage,2,5,15,84153,18202,,20,141,,1,dps,
TK23,Horde,Warrior,3,5,15,64704,7938,,30,141,,1,dps,
TK23,Alliance,Rogue,1,2,40,18047,6606,1,38,567,1,,dps,
TK23,Horde,Warlock,3,5,15,74618,40979,1,66,141,,1,dps,
TK23,Alliance,Druid,0,2,45,1214,148000,2,128,578,1,,heal,
TK23,Alliance,Paladin,4,5,33,43566,16431,3,328,547,1,,dps,
TK23,Horde,Paladin,6,5,15,68941,13718,2,142,141,,1,dps,
TK23,Horde,Monk,0,5,15,7327,68031,1,32,141,,1,heal,
TK23,Horde,Priest,0,5,16,7564,56718,,0,143,,1,heal,
TK23,Alliance,Paladin,10,0,45,112000,13972,,100,578,1,,dps,
TK24,Alliance,Death Knight,4,4,7,38219,15746,1,76,165,,1,dps,
TK24,Horde,Druid,5,0,28,52396,2930,,50,359,1,,dps,
TK24,Horde,Demon Hunter,3,1,27,46365,7870,1,316,357,1,,dps,
TK24,Alliance,Rogue,0,3,5,31066,1719,,0,156,,1,dps,
TK24,Alliance,Druid,0,4,6,0,13970,,0,161,,1,heal,
TK24,Horde,Shaman,5,1,25,42286,2712,1,308,503,1,,dps,
TK24,Alliance,Warlock,1,3,5,27484,13215,,10,158,,1,dps,
TK24,Horde,Shaman,1,1,24,8657,52124,2,76,351,1,,heal,
TK24,Horde,Druid,2,3,25,33509,2088,1,220,353,1,,dps,
TK24,Horde,Druid,1,0,28,406,64450,,10,509,1,,heal,
TK24,Horde,Shaman,1,1,27,9464,2763,2,296,507,1,,dps,
TK24,Alliance,Druid,0,2,7,2063,40445,,0,166,,1,heal,
TK24,Horde,Warlock,5,0,28,10778,10348,1,92,509,1,,dps,
TK24,Alliance,Warlock,1,3,8,29871,8665,,10,167,,1,dps,
TK24,Alliance,Hunter,0,4,9,31992,4936,1,16,172,,1,dps,
TK24,Alliance,Druid,3,3,7,37162,0,,30,164,,1,dps,
TK24,Horde,Warlock,2,2,24,29638,11409,3,154,351,1,,dps,
TK24,Horde,Shaman,3,0,28,33035,2586,,30,359,1,,dps,
TK25,Horde,Mage,9,0,46,54490,6353,,90,546,1,,dps,
TK25,Alliance,Warrior,1,7,23,25928,1338,4,134,337,,1,dps,
TK25,Alliance,Shaman,0,4,10,24232,7826,,0,102,,1,dps,
TK25,Alliance,Paladin,5,5,25,75148,14018,,50,345,,1,dps,
TK25,Horde,Shaman,1,4,43,21173,80209,3,186,540,1,,heal,
TK25,Horde,Demon Hunter,3,3,41,51042,8672,1,38,536,1,,dps,
TK25,Horde,Priest,1,0,46,3979,143000,,10,546,1,,heal,
TK25,Alliance,Mage,1,1,30,86365,25244,,10,361,,1,dps,
TK25,Horde,Demon Hunter,11,4,40,68546,9218,3,332,535,1,,dps,
TK25,Horde,Warlock,8,3,40,74327,27260,1,184,534,1,,dps,
TK25,Horde,Monk,0,2,42,923,98697,1,44,388,1,,heal,
TK25,Horde,Mage,6,6,36,71340,4595,6,270,526,1,,dps,
TK25,Horde,Priest,1,2,43,5642,67232,2,200,390,1,,heal,
TK25,Horde,Druid,4,5,36,55777,7151,3,152,526,1,,dps,
TK25,Alliance,Rogue,1,5,26,8452,10643,4,156,350,,1,dps,
TK25,Alliance,Hunter,8,5,25,129000,10846,2,140,346,,1,dps,
TK25,Alliance,Druid,1,6,20,37121,7107,2,166,330,,1,dps,
TK25,Alliance,Priest,2,3,29,41328,13275,1,72,358,,1,dps,
TK25,Alliance,Rogue,3,8,20,63752,10578,4,208,330,,1,dps,
TK25,Alliance,Monk,7,1,29,89522,39455,,70,354,,1,dps,
TK26,Alliance,Hunter,1,7,23,28927,7751,3,152,355,,1,dps,
TK26,Horde,Shaman,3,2,52,59230,4158,1,100,549,1,,dps,
TK26,Horde,Priest,1,3,30,6129,57789,3,134,322,1,,heal,
TK26,Alliance,Hunter,7,3,27,143000,15719,2,194,371,,1,dps,
TK26,Alliance,Warrior,7,7,22,147000,17062,1,104,345,,1,dps,
TK26,Alliance,Paladin,6,6,26,142000,34656,3,190,368,,1,dps,
TK26,Horde,Demon Hunter,14,2,56,105000,43579,,140,557,1,,dps,
TK26,Alliance,Warlock,1,6,22,59717,30726,3,134,352,,1,dps,
TK26,Alliance,Priest,0,7,24,14383,99617,1,26,361,,1,heal,
TK26,Horde,Shaman,2,3,54,31536,139000,2,230,553,1,,heal,
TK26,Horde,Monk,0,2,58,2789,166000,1,22,411,1,,heal,
TK26,Horde,Paladin,5,3,51,39532,20908,2,112,547,1,,dps,
TK26,Horde,Death Knight,9,4,51,74487,48343,4,338,547,1,,dps,
TK26,Alliance,Priest,0,5,22,6832,49159,5,246,352,,1,heal,
TK26,Horde,Shaman,8,4,54,93782,9998,4,282,403,1,,dps,
TK26,Alliance,Warrior,2,8,16,30408,3860,3,94,339,,1,dps,
TK26,Alliance,Hunter,1,6,22,60308,12021,,0,353,,1,dps,
TK26,Horde,Warlock,9,2,56,87233,30989,,90,557,1,,dps,
TK26,Horde,Warlock,5,0,59,94488,34179,,50,413,1,,dps,
TK27,Alliance,Warrior,7,0,26,43550,5535,1,430,532,1,,dps,
TK27,Horde,Warrior,1,4,2,47519,1381,2,58,99,,1,dps,
TK27,Alliance,Warrior,1,1,26,15274,1913,,10,757,1,,dps,
TK27,Horde,Druid,0,3,1,22694,5585,,0,97,,1,dps,
TK27,Alliance,Mage,5,0,26,31397,7194,1,272,757,1,,dps,
TK27,Alliance,Demon Hunter,2,1,23,25568,9383,2,360,526,1,,dps,
TK27,Horde,Druid,0,2,1,19993,1455,,0,97,,1,dps,
TK27,Horde,Shaman,0,3,2,10236,40293,1,32,99,,1,heal,
TK27,Horde,Paladin,0,3,2,0,31435,1,26,99,,1,heal,
TK27,Horde,Druid,0,1,1,44736,3767,,0,97,,1,dps,
TK27,Alliance,Monk,0,0,26,3,122000,,0,532,1,,heal,
TK27,Horde,Mage,0,2,1,13191,1934,,0,12,,1,dps,
TK27,Alliance,Mage,3,0,26,44885,2218,,30,757,1,,dps,
TK27,Alliance,Priest,0,0,26,2611,42207,,0,757,1,,heal,
TK27,Horde,Priest,1,2,2,47462,14893,,10,99,,1,dps,
TK27,Alliance,Druid,2,0,26,43001,9542,,20,532,1,,dps,
TK27,Alliance,Death Knight,4,0,26,31327,6114,,40,532,1,,dps,
TK27,Alliance,Rogue,2,0,26,15547,6132,1,358,757,1,,dps,
TK27,Horde,Demon Hunter,0,3,1,8578,3794,,0,97,,1,dps,
TK28,Horde,Demon Hunter,8,0,36,62110,4091,1,180,528,1,,dps,
TK28,Alliance,Monk,0,2,4,0,19846,1,28,153,,1,heal,
TK28,Horde,Druid,1,0,26,13733,0,,10,508,1,,dps,
TK28,Horde,Hunter,6,0,36,28133,361,,60,378,1,,dps,
TK28,Horde,Warrior,3,1,33,23615,756,1,158,366,1,,dps,
TK28,Alliance,Priest,0,3,0,0,35978,1,30,142,,1,heal,
TK28,Alliance,Warrior,3,3,3,35264,7593,,30,149,,1,dps,
TK28,Horde,Druid,3,1,32,14690,8530,2,382,520,1,,dps,
TK28,Alliance,Priest,0,2,4,9462,6233,,0,153,,1,dps,
TK28,Alliance,Hunter,0,3,2,8125,24,,0,146,,1,dps,
TK28,Horde,Shaman,1,1,32,7405,38314,1,234,370,1,,heal,
TK28,Horde,Mage,4,0,36,37396,3482,,40,374,1,,dps,
TK28,Horde,Hunter,3,0,36,59535,1452,,30,378,1,,dps,
TK28,Alliance,Druid,0,4,4,7485,3762,2,46,153,,1,dps,
TK28,Horde,Paladin,3,1,30,17903,11241,2,314,516,1,,dps,
TK28,Alliance,Mage,0,4,4,10755,7558,,0,153,,1,dps,
TK28,Alliance,Warlock,0,4,3,18582,3782,,0,149,,1,dps,
TK28,Alliance,Rogue,0,4,4,22115,0,,0,153,,1,dps,
TK28,Alliance,Warrior,1,5,4,50276,1613,1,38,153,,1,dps,
TK28,Horde,Shaman,0,0,36,4813,70012,1,164,378,1,,heal,
TK29,Alliance,Paladin,2,2,14,38821,19496,1,76,236,,1,dps,
TK29,Horde,Warrior,4,3,32,31925,4893,3,326,518,1,,dps,
TK29,Alliance,Hunter,2,4,16,31296,3807,,20,238,,1,dps,
TK29,Alliance,Mage,0,3,18,30155,8495,,0,244,,1,dps,
TK29,Alliance,Warrior,1,6,14,33514,2108,,10,233,,1,dps,
TK29,Horde,Rogue,4,1,32,36120,6815,1,60,368,1,,dps,
TK29,Horde,Shaman,0,2,33,13806,98538,2,134,520,1,,heal,
TK29,Horde,Shaman,0,3,28,1441,70523,2,228,360,1,,heal,
TK29,Horde,Warrior,6,2,28,59682,4309,2,376,510,1,,dps,
TK29,Alliance,Mage,6,5,16,96631,4271,,60,238,,1,dps,
TK29,Alliance,Druid,0,3,13,5753,72375,1,50,230,,1,heal,
TK29,Horde,Rogue,4,0,33,18836,10123,,40,510,1,,dps,
TK29,Alliance,Hunter,2,4,18,25417,7118,1,62,244,,1,dps,
TK29,Alliance,Druid,0,1,18,7369,6601,,0,244,,1,dps,
TK29,Horde,Druid,3,2,32,57571,6090,2,108,518,1,,dps,
TK29,Horde,Rogue,3,1,34,53048,6765,,30,372,1,,dps,
TK29,Horde,Death Knight,1,3,33,32887,24753,2,120,520,1,,dps,
TK29,Horde,Demon Hunter,8,1,34,64269,3439,,80,372,1,,dps,
TK29,Alliance,Priest,0,4,14,7573,56754,4,204,232,,1,heal,
TK30,Horde,Warrior,15,2,68,66185,5171,1,190,435,1,,dps,
TK30,Horde,Druid,0,1,64,2163,174000,,0,427,1,,heal,
TK30,Horde,Hunter,4,4,60,67632,13870,2,92,418,1,,dps,
TK30,Alliance,Warlock,2,5,29,61679,38866,2,136,417,,1,dps,
TK30,Alliance,Rogue,7,5,29,69788,12341,2,244,417,,1,dps,
TK30,Alliance,Hunter,4,6,27,68495,23956,,40,411,,1,dps,
TK30,Alliance,Warrior,0,9,22,35093,5991,1,32,394,,1,dps,
TK30,Horde,Warlock,4,3,59,43720,9135,,40,566,1,,dps,
TK30,Horde,Shaman,0,6,55,7508,95265,6,308,408,1,,heal,
TK30,Horde,Demon Hunter,8,4,56,92223,24163,,80,411,1,,dps,
TK30,Alliance,Warlock,4,7,27,47053,20279,3,202,409,,1,dps,
TK30,Alliance,Hunter,1,8,24,41114,14760,2,86,398,,1,dps,
TK30,Alliance,Warlock,7,5,31,93291,51750,4,400,421,,1,dps,
TK30,Horde,Death Knight,10,4,61,110000,29781,2,254,571,1,,dps,
TK30,Horde,Death Knight,10,6,64,79357,39566,7,376,275,1,,dps,
TK30,Alliance,Mage,9,6,28,129000,17565,4,304,413,,1,dps,
TK30,Alliance,Shaman,0,7,27,4126,53718,,0,409,,1,heal,
TK30,Alliance,Priest,1,9,27,49829,19258,1,32,410,,1,dps,
TK30,Horde,Mage,9,2,62,93060,17061,,90,572,1,,dps,
TK30,Horde,Demon Hunter,7,3,58,69499,5511,,70,414,1,,dps,
TK31,Horde,Shaman,2,6,33,24152,4962,,20,264,,1,dps,
TK31,Horde,Rogue,6,5,34,40831,10648,1,94,268,,1,dps,
TK31,Alliance,Paladin,4,3,59,37246,12544,1,60,612,1,,dps,
TK31,Horde,Death Knight,4,5,36,57082,28817,3,194,272,,1,dps,
TK31,Alliance,Demon Hunter,3,5,58,48130,4521,4,212,844,1,,dps,
TK31,Alliance,Warrior,10,4,57,105000,27371,1,108,612,1,,dps,
TK31,Alliance,Mage,0,8,39,24957,8796,6,160,799,1,,dps,
TK31,Horde,Priest,5,5,40,56318,26732,3,162,281,,1,dps,
TK31,Alliance,Mage,1,5,59,45045,6296,4,196,619,1,,dps,
TK31,Horde,Shaman,0,9,28,25938,84548,6,194,254,,1,heal,
TK31,Alliance,Death Knight,3,4,57,70136,26207,,30,614,1,,dps,
TK31,Horde,Rogue,5,4,42,53193,16934,2,164,285,,1,dps,
TK31,Horde,Warlock,6,7,36,99579,38579,1,94,271,,1,dps,
TK31,Horde,Shaman,5,9,33,58546,22037,2,96,264,,1,dps,
TK31,Horde,Priest,2,6,38,5902,110000,2,20,277,,1,heal,
TK31,Alliance,Warlock,7,3,61,87281,52407,1,108,615,1,,dps,
TK31,Alliance,Druid,4,4,57,72397,23753,1,74,616,1,,dps,
TK31,Alliance,Warrior,20,3,59,84419,31867,1,272,613,1,,dps,
TK31,Horde,Druid,7,7,37,63078,10799,4,188,273,,1,dps,
TK31,Alliance,Death Knight,10,4,53,73122,29725,1,250,589,1,,dps,
TK32,Alliance,Warrior,8,2,55,89690,11771,1,166,595,1,,dps,
TK32,Horde,Mage,3,5,13,38565,11677,4,250,200,,1,dps,
TK32,Alliance,Warrior,18,2,51,125000,22416,,180,807,1,,dps,
TK32,Alliance,Warrior,1,5,48,10258,4514,5,332,578,1,,dps,
TK32,Horde,Priest,0,4,17,3469,58348,,0,208,,1,heal,
TK32,Alliance,Demon Hunter,3,1,55,47394,4342,1,190,595,1,,dps,
TK32,Horde,Druid,1,6,14,27170,10446,2,54,202,,1,dps,
TK32,Alliance,Paladin,11,2,52,85531,21211,1,204,588,1,,dps,
TK32,Alliance,Warrior,9,1,53,35697,2991,1,116,586,1,,dps,
TK32,Alliance,Priest,5,1,55,94639,6911,,50,817,1,,dps,
TK32,Alliance,Warrior,0,4,43,24060,1961,4,264,793,1,,dps,
TK32,Alliance,Paladin,0,0,55,2222,84019,,0,595,1,,heal,
TK32,Horde,Shaman,0,6,14,15020,63435,5,172,202,,1,heal,
TK32,Horde,Mage,1,3,13,23441,3283,,10,200,,1,dps,
TK32,Horde,Warlock,4,6,13,52498,20817,3,190,200,,1,dps,
TK32,Alliance,Monk,0,0,55,378,151000,,0,595,1,,heal,
TK32,Horde,Death Knight,1,7,13,38963,17063,1,68,200,,1,dps,
TK32,Horde,Druid,0,1,3,185,12731,1,48,111,,1,heal,
TK32,Horde,Hunter,2,7,13,102000,98012,,20,200,,1,dps,
TK32,Horde,Hunter,1,7,14,74785,9045,,10,202,,1,dps,
TK33,Alliance,Paladin,0,4,7,7611,5743,3,178,233,,1,dps,
TK33,Alliance,Warrior,0,7,5,50091,1398,3,110,227,,1,dps,
TK33,Horde,Monk,0,0,34,1554,127000,,0,518,1,,heal,
TK33,Horde,Priest,1,0,34,36620,119000,,10,518,1,,heal,
TK33,Horde,Shaman,3,0,34,131000,3362,,30,368,1,,dps,
TK33,Horde,Shaman,1,1,31,15474,74199,2,116,512,1,,heal,
TK33,Alliance,Paladin,2,3,6,38758,8862,,20,230,,1,dps,
TK33,Alliance,Druid,0,1,7,0,97298,,0,230,,1,heal,
TK33,Alliance,Paladin,0,4,6,31703,23663,,0,230,,1,dps,
TK33,Alliance,Priest,0,0,6,37361,71316,1,24,231,,1,heal,
TK33,Alliance,Priest,2,3,5,157000,21982,,20,229,,1,dps,
TK33,Horde,Priest,15,1,32,103000,15377,2,524,514,1,,dps,
TK33,Horde,Mage,2,0,34,89327,6970,,20,518,1,,dps,
TK33,Alliance,Monk,1,4,7,28943,25171,1,54,233,,1,dps,
TK33,Horde,Rogue,1,2,33,35745,9200,2,414,516,1,,dps,
TK33,Alliance,Mage,1,6,6,44724,12841,3,136,230,,1,dps,
TK33,Horde,Warrior,5,1,30,40888,3933,1,128,510,1,,dps,
TK33,Horde,Druid,2,2,30,27564,8466,1,238,510,1,,dps,
TK33,Alliance,Shaman,1,3,3,5175,54224,,10,193,,1,heal,
TK33,Horde,Warrior,2,0,34,32325,5893,,20,518,1,,dps,
TK34,Alliance,Druid,0,4,20,37452,34708,4,272,255,,1,dps,
TK34,Horde,Hunter,4,0,43,153000,6715,,40,541,1,,dps,
TK34,Alliance,Rogue,2,1,26,27207,2647,,20,379,,1,dps,
TK34,Alliance,Monk,0,2,26,4657,209000,,0,379,,1,heal,
TK34,Alliance,Rogue,3,5,23,100000,12499,,30,372,,1,dps,
TK34,Horde,Shaman,1,3,41,29498,160000,3,170,387,1,,heal,
TK34,Horde,Mage,6,1,43,111000,11156,,60,541,1,,dps,
TK34,Alliance,Warlock,8,4,26,90267,39885,1,112,379,,1,dps,
TK34,Alliance,Druid,6,5,22,110000,14997,2,258,367,,1,dps,
TK34,Alliance,Warrior,0,5,24,26646,42153,6,444,373,,1,dps,
TK34,Horde,Priest,1,5,38,37001,99769,2,112,381,1,,heal,
TK34,Horde,Warrior,4,1,43,113000,38077,1,138,391,1,,dps,
TK34,Alliance,Warrior,4,7,20,50723,1533,4,138,364,,1,dps,
TK34,Horde,Death Knight,3,3,35,104000,24877,2,204,525,1,,dps,
TK34,Horde,Warlock,2,6,34,48301,30790,6,286,523,1,,dps,
TK34,Horde,Mage,4,0,35,69845,8525,,40,487,1,,dps,
TK34,Alliance,Druid,0,3,25,898,242000,,0,377,,1,heal,
TK34,Horde,Mage,13,4,36,99191,10380,3,398,527,1,,dps,
TK34,Alliance,Warrior,3,7,19,105000,20603,2,72,362,,1,dps,
TK34,Horde,Paladin,4,2,39,128000,30625,,40,533,1,,dps,
TK35,Alliance,Warlock,10,2,48,84576,29988,,100,586,1,,dps,
TK35,Alliance,Priest,8,0,50,109000,19839,,80,590,1,,dps,
TK35,Alliance,Druid,0,1,50,3738,143000,,0,590,1,,heal,
TK35,Alliance,Warrior,7,3,47,40081,6069,1,102,583,1,,dps,
TK35,Horde,Rogue,0,7,15,30002,10648,2,16,200,,1,dps,
TK35,Horde,Shaman,0,5,19,18937,100000,5,166,208,,1,heal,
TK35,Alliance,Monk,1,3,45,2573,85092,4,352,575,1,,heal,
TK35,Alliance,Hunter,3,2,46,55281,2831,2,358,581,1,,dps,
TK35,Alliance,Warrior,1,5,35,42471,5694,4,186,782,1,,dps,
TK35,Horde,Mage,4,1,22,61820,25728,,40,214,,1,dps,
TK35,Horde,Shaman,2,8,16,32711,9954,2,64,202,,1,dps,
TK35,Horde,Shaman,1,4,20,37479,6396,2,152,210,,1,dps,
TK35,Horde,Warrior,3,5,20,54201,9354,1,140,210,,1,dps,
TK35,Horde,Monk,1,4,18,3490,43846,1,122,206,,1,heal,
TK35,Alliance,Hunter,6,2,41,41153,13044,,60,564,1,,dps,
TK35,Horde,Mage,3,5,17,80002,23565,,30,204,,1,dps,
TK35,Alliance,Druid,8,0,50,102000,23841,,80,590,1,,dps,
TK35,Horde,Death Knight,6,5,20,119000,23228,3,154,210,,1,dps,
TK35,Alliance,Druid,4,4,46,45510,10073,1,182,804,1,,dps,
TK35,Horde,Shaman,1,6,18,41611,16393,1,22,206,,1,dps,
TK36,Alliance,Shaman,6,4,24,52695,25345,3,206,292,,1,dps,
TK36,Horde,Druid,0,4,27,28108,20113,3,152,362,1,,dps,
TK36,Horde,Hunter,4,2,32,71977,1514,,40,522,1,,dps,
TK36,Alliance,Druid,0,4,20,27415,12355,,0,279,,1,dps,
TK36,Horde,Mage,3,3,33,50517,13317,1,88,374,1,,dps,
TK36,Horde,Shaman,0,0,34,17636,109000,,0,526,1,,heal,
TK36,Alliance,Rogue,3,3,23,50239,18997,1,48,286,,1,dps,
TK36,Horde,Shaman,0,4,30,19629,87569,4,348,518,1,,heal,
TK36,Horde,Warrior,9,2,32,91965,20738,,90,372,1,,dps,
TK36,Horde,Demon Hunter,1,3,31,21503,2888,4,306,520,1,,dps,
TK36,Alliance,Demon Hunter,4,2,25,85229,17286,,40,294,,1,dps,
TK36,Horde,Priest,10,1,33,212000,21176,,100,524,1,,dps,
TK36,Horde,Warrior,5,5,30,65103,10781,4,296,368,1,,dps,
TK36,Alliance,Paladin,7,6,22,77932,28740,3,232,286,,1,dps,
TK36,Alliance,Paladin,0,0,27,1281,189000,,0,296,,1,heal,
TK36,Alliance,Paladin,4,3,24,121000,31378,2,140,290,,1,dps,
TK36,Alliance,Mage,1,2,21,25849,8216,,10,267,,1,dps,
TK36,Alliance,Mage,2,5,18,53364,7965,1,56,275,,1,dps,
TK36,Horde,Priest,2,3,26,11844,72376,2,98,510,1,,heal,
TK36,Alliance,Monk,0,5,21,6664,63217,1,42,280,,1,heal,
TK37,Alliance,Paladin,0,3,3,555,44219,,0,236,,1,heal,1
TK37,Alliance,Mage,1,3,5,44853,8256,1,56,242,,1,dps,1
TK37,Horde,Mage,1,1,27,15709,4957,,10,651,1,,dps,1
TK37,Alliance,Druid,0,5,4,29216,2810,2,52,240,,1,dps,1
TK37,Horde,Demon Hunter,2,0,30,28427,2332,,20,432,1,,dps,1
TK37,Horde,Druid,1,2,25,27448,4418,1,58,647,1,,dps,1
TK37,Horde,Shaman,0,1,30,10822,60909,2,424,432,1,,heal,1
TK37,Alliance,Shaman,0,1,5,798,54216,,0,242,,1,heal,1
TK37,Horde,Druid,1,0,30,2447,81635,1,288,657,1,,heal,1
TK37,Alliance,Paladin,1,0,5,9173,1818,,10,242,,1,dps,1
TK37,Horde,Warlock,5,0,30,31319,9720,1,220,657,1,,dps,1
TK37,Alliance,Rogue,0,4,5,25900,4187,,0,242,,1,dps,1
TK37,Alliance,Paladin,0,1,3,1457,1294,1,36,236,,1,dps,1
TK37,Alliance,Paladin,3,4,4,25381,17957,1,88,239,,1,dps,1
TK37,Alliance,Warrior,0,5,2,23667,3103,1,36,233,,1,dps,1
TK37,Alliance,Warrior,0,4,5,41483,5582,1,22,242,,1,dps,1
TK37,Horde,Death Knight,4,0,30,35696,3410,1,194,657,1,,dps,1
TK37,Horde,Priest,9,0,30,68485,5179,,90,657,1,,dps,1
TK37,Horde,Mage,4,0,30,57384,4506,,40,432,1,,dps,1
TK37,Horde,Shaman,2,1,26,30112,4028,1,174,199,1,,dps,1
